geometry,band_count,spacing_nm,effective_fwhm_nm,shift_nm,absolute_shift_over_spacing,absolute_shift_over_fwhm,scene,model,model_key,direction,nominal_macro_f1_mean,shifted_macro_f1_mean,paired_macro_f1_drop_mean,paired_macro_f1_drop_std,ece_change_shifted_minus_nominal_mean,label_flip_rate_mean,correct_to_wrong_rate_mean,wrong_to_correct_rate_mean,low_capability_nominal_below_0p70
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HongHu,SpectralFormer-3x3,spectralformer3x3,minus,0.6931012803738191,0.552162156752248,0.14093912362157118,0.01911666271712805,0.08858895343189968,0.2337144982777528,0.1609491925003744,0.026986864543930587,True
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HongHu,SpectralFormer-3x3,spectralformer3x3,plus,0.6931012803738191,0.5582372527609423,0.13486402761287686,0.02432582018693009,0.0686485178445376,0.17018797373874986,0.10159181050933105,0.02418682396363232,True
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,LongKou,Linear,linear,minus,0.760617912479646,0.7428454996006606,0.017772412878985545,0.002014661039970171,-0.007018504994763067,0.06358098533227818,0.02132800853930103,0.023424186097870697,False
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,LongKou,Linear,linear,plus,0.760617912479646,0.7327159755645709,0.027901936915075098,0.0017678892257032618,-0.010368760542201141,0.07520474078436425,0.051681174890038095,0.009744741152437566,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,LongKou,MLP,mlp,minus,0.8731131102810584,0.7788967807638706,0.0942163295171878,0.011381885304099223,0.032063746394742014,0.10869573218985222,0.0701915821631669,0.03084822496641331,False
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,LongKou,MLP,mlp,plus,0.8731131102810584,0.7142809733906026,0.15883213689045583,0.015087573689265287,0.1059055091122372,0.17718681561367028,0.15253142425971253,0.007302574672874837,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,LongKou,CNN-1D,cnn1d,minus,0.8639938587215708,0.7661443243869649,0.09784953433460593,0.021917904920942727,0.026200840756630817,0.07663286526676114,0.04517915968860997,0.021022507683530558,False
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,LongKou,CNN-1D,cnn1d,plus,0.8639938587215708,0.7081859623867107,0.1558078963348602,0.03175071489768751,0.10525370267388272,0.17731748164234315,0.1534792130592414,0.010396230929201096,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,LongKou,SSCNN-3x3,sscnn3x3,minus,0.913471069872742,0.8799996131681495,0.033471456704592575,0.02033374650197691,0.006806540553669681,0.04131807055965549,0.02460754182233101,0.010670445552754107,False
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,LongKou,SSCNN-3x3,sscnn3x3,plus,0.913471069872742,0.8659352233556579,0.04753584651708405,0.005934553343134892,0.024821912539582915,0.044336271785339644,0.0368349375195539,0.004212599149750631,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,LongKou,SSResNet-3x3,ssresnet3x3,minus,0.9297733537499212,0.7916287000141116,0.13814465373580948,0.08809732301646096,0.025200239501061632,0.06375397979277472,0.04695327309199993,0.007909895651213722,False
reference,68,8.0,15.0,2.2,0.275,0.14666666666666667,LongKou,SSResNet-3x3,ssresnet3x3,plus,0.9297733537499212,0.8339956893002569,0.09577766444966418,0.028384132715692192,0.04907235241485082,0.07975964812190588,0.0707786591088945,0.005222960413714412,False
reference,68,8.0,15.0,-2.2,0.275,0.14666666666666667,LongKou,SpectralFormer-3x3,spectralformer3x3,minus,0.8978991721588914,0.8885826903508697,0.009316481808021582,0.019051470183805097,0.0028720358006647214,0.04293759316855918,0.021578298397040695,0.016447356313377626,False
